k,seed,dwell_bin,room_gen,room_seen,within_r2,repetition,n
3,4,0-2,0.5072394980905619,0.5541463414634147,0.4822367335836635,nan,225
3,4,2-5,0.5391856160761501,0.6306716023268113,0.9458362245795451,nan,334
3,4,5-10,0.5831812358895302,0.613049504950495,0.9496782639624535,0.8989155460852617,547
3,4,10-inf,0.49990403932115807,0.5140891976699623,0.9805229985400175,0.9884080998334713,15164
3,5,0-2,0.5358674463937622,0.6263646922183508,0.493841553644269,nan,247
3,5,2-5,0.6165400350672121,0.5272355347749855,0.9311234446268797,nan,359
3,5,5-10,0.5062486002239641,0.578387458006719,0.9096322201728972,0.9068222146165933,582
3,5,10-inf,0.5037268322508817,0.5221765507485093,0.9822480664386688,0.9896769104665804,14764
3,6,0-2,0.5678210678210678,0.6019230769230769,0.6394773782650518,nan,239
3,6,2-5,0.5385964912280701,0.5490623109497883,-64.8636553695363,0.9366854888319927,351
3,6,5-10,0.48843830005120326,0.6,0.9783319853033614,0.911374223678587,567
3,6,10-inf,0.5194102100979561,0.5219430485762144,0.9712562984489679,0.9917012876516043,14623
3,7,0-2,0.5956451612903225,0.6090909090909091,0.5002982339871906,nan,233
3,7,2-5,0.5828904428904429,0.5951515151515152,0.9176649650898062,nan,344
3,7,5-10,0.6050566187014784,0.6528301886792452,0.9760396095707259,0.9138000872981353,551
3,7,10-inf,0.5194002329443566,0.5309023088301499,0.9760847579244742,0.9925851818154271,13713
