layout,variant,seed,step,b1_true,b1_hat,b1_conf,b1_correct,metric,decode_r2,n_cells
figure8,,7,80000,2,1,1.0230735698017157,0,0.7063345994619975,0.9965879304610393,292
figure8,,7,final,2,1,1.0101495040704673,0,0.706433178661495,0.9966534800614912,292
open,,0,0,0,2,1.298924659246001,0,0.4180353648782797,0.8523654311091363,324
open,,0,1000,0,1,1.4121127471730492,0,0.5394284843401812,0.9674074497244198,324
open,,0,16000,0,0,1.1740519074956621,1,0.7781908241641746,0.9982943880305811,324
open,,0,2000,0,4,1.380278493682456,0,0.6408726187310672,0.9902017138998371,324
open,,0,250,0,0,1.29607564792749,1,0.36900139275785965,0.9117046781456967,324
open,,0,32000,0,1,1.0391633335191217,0,0.7957312040046274,0.9984191881181245,324
open,,0,4000,0,1,1.274376919792871,0,0.7124470665275517,0.9965141515362467,324
open,,0,500,0,1,1.8264475601599908,0,0.44827344588683565,0.9356113051969779,324
open,,0,8000,0,1,1.0496642253306718,0,0.7658974146591195,0.9980119904474479,324
open,,0,80000,0,0,1.2356460129905111,1,0.816946221443428,0.9986022683601575,324
open,,0,final,0,0,1.2299009239429817,1,0.8168140690626656,0.9986022105133104,324
open,,1,0,0,1,1.1147360566681113,0,0.38806667729530603,0.8365001985990854,324
open,,1,1000,0,1,1.2934330797358193,0,0.5452760020009192,0.9737468707960751,324
open,,1,16000,0,1,1.0044214975328938,0,0.7991177867818534,0.9980564014543457,324
open,,1,2000,0,1,1.496604782875055,0,0.6403404579670815,0.99215001651473,324
open,,1,250,0,1,1.0500649912983593,0,0.37042018346210465,0.8844364564769716,324
open,,1,32000,0,0,1.1626477146711205,1,0.7957716781763189,0.9982395826949422,324
open,,1,4000,0,2,1.2793795456695987,0,0.7167344816406105,0.9964488254676047,324
open,,1,500,0,1,1.202896453412697,0,0.4175473027666747,0.9446722703379014,324
open,,1,8000,0,1,1.0442418121702002,0,0.7707368983991317,0.9978800561204796,324
open,,1,80000,0,0,1.0553696908854902,1,0.8114881432444262,0.9982556998890304,324
open,,1,final,0,0,1.0459673113433894,1,0.8114286580323051,0.9982814489930213,324
open,,2,0,0,1,1.2180392352431995,0,0.424066543508165,0.8198378849473335,324
open,,2,1000,0,1,1.279512383297766,0,0.5189269074420582,0.9601304828031398,324
open,,2,16000,0,0,1.1908051606437302,1,0.7771451932737459,0.9979883722701098,324
open,,2,2000,0,1,1.4178342251984908,0,0.6486300099955998,0.9898836341056775,324
open,,2,250,0,1,1.4898783663204909,0,0.355082817178855,0.8337001066992823,324
open,,2,32000,0,0,1.3736072639111814,1,0.7930828165746036,0.9984568158512713,324
open,,2,4000,0,1,1.7740984404381535,0,0.7056408327504148,0.9963229974688537,324
open,,2,500,0,1,1.196378360741088,0,0.41885175534054214,0.9341673192759824,324
open,,2,8000,0,1,1.2546864661852775,0,0.7564344958307727,0.9978556278915802,324
open,,2,80000,0,0,1.227907861370823,1,0.8068599685275347,0.9985966290414391,324
open,,2,final,0,0,1.2233407475612987,1,0.8066736530314733,0.9985845585027076,324
