condition,encoding,seed,group,m1,m2,bi_frac,raw_m1,raw_m2,raw_bi_frac,n_tuned,n_units,n_cells_vis,best_shift,pred_shift,rot_gain,corr_pred,corr_none,local_m1
s2,axis,6,c2,0.00883,0.42641,0.99794,0.03277,0.42562,0.97303,398,500,324,2,2,0.75357,0.99357,0.24,0.19233
s2,axis,6,c4,0.00883,0.42641,0.99794,0.03277,0.42562,0.97303,398,500,324,0,3,-0.60837,-0.22585,0.38252,0.32452
s2,axis,7,c2,0.00841,0.42188,0.99714,0.02805,0.42105,0.98271,381,500,323,2,2,0.77987,0.99128,0.21141,0.19622
s2,axis,7,c4,0.00841,0.42188,0.99714,0.02805,0.42105,0.98271,381,500,323,0,3,-0.49777,-0.15543,0.34233,0.3304
s2,axis,8,c2,0.0082,0.41777,0.9978,0.01952,0.41432,0.99119,392,500,324,2,2,0.78523,0.99154,0.20631,0.19469
s2,axis,8,c4,0.0082,0.41777,0.9978,0.01952,0.41432,0.99119,392,500,324,2,3,-0.57141,-0.20621,0.3652,0.32441
s2,axis,9,c2,0.00889,0.41505,0.99779,0.04845,0.41883,0.94212,393,500,323,2,2,0.78859,0.99163,0.20305,0.20201
s2,axis,9,c4,0.00889,0.41505,0.99779,0.04845,0.41883,0.94212,393,500,323,2,3,-0.53288,-0.17444,0.35844,0.32518
s2,parity,0,c2,0.24115,0.03317,0.07612,0.24991,0.04634,0.08373,339,500,324,0,2,-0.20747,-0.1098,0.09767,0.33565
s2,parity,0,c4,0.24115,0.03317,0.07612,0.24991,0.04634,0.08373,339,500,324,3,3,0.03527,0.2513,0.21603,0.42342
s2,parity,1,c2,0.23275,0.03014,0.08625,0.24261,0.04374,0.11179,331,500,324,0,2,-0.15098,-0.08439,0.06659,0.32832
s2,parity,1,c4,0.23275,0.03014,0.08625,0.24261,0.04374,0.11179,331,500,324,3,3,0.09335,0.29611,0.20276,0.42171
s2,parity,2,c2,0.23521,0.03061,0.07279,0.24565,0.04144,0.08276,328,500,324,0,2,-0.09556,-0.05275,0.04281,0.33191
s2,parity,2,c4,0.23521,0.03061,0.07279,0.24565,0.04144,0.08276,328,500,324,3,3,0.06324,0.26849,0.20525,0.43076
s2,parity,3,c2,0.23615,0.0287,0.06027,0.24728,0.04422,0.10062,325,500,324,0,2,-0.18362,-0.10219,0.08142,0.32741
s2,parity,3,c4,0.23615,0.0287,0.06027,0.24728,0.04422,0.10062,325,500,324,3,3,0.04253,0.26239,0.21986,0.41772
s2,parity,4,c2,0.23357,0.02758,0.05546,0.24138,0.03696,0.07802,320,500,324,0,2,-0.14978,-0.08444,0.06534,0.32601
s2,parity,4,c4,0.23357,0.02758,0.05546,0.24138,0.03696,0.07802,320,500,324,3,3,0.04689,0.26921,0.22232,0.41809
s2,parity,5,c2,0.24378,0.02595,0.03803,0.25282,0.03881,0.06483,329,500,324,0,2,-0.23237,-0.12958,0.10279,0.33592
s2,parity,5,c4,0.24378,0.02595,0.03803,0.25282,0.03881,0.06483,329,500,324,3,3,0.07892,0.29364,0.21472,0.4242
s2,parity,6,c2,0.23394,0.02671,0.04972,0.24005,0.03644,0.06637,321,500,324,0,2,-0.18329,-0.10419,0.0791,0.32408
s2,parity,6,c4,0.23394,0.02671,0.04972,0.24005,0.03644,0.06637,321,500,324,3,3,0.06488,0.26673,0.20185,0.41261
s2,parity,7,c2,0.23915,0.03161,0.06259,0.24612,0.03954,0.08134,337,500,323,0,2,-0.2529,-0.12799,0.12491,0.32716
s2,parity,7,c4,0.23915,0.03161,0.06259,0.24612,0.03954,0.08134,337,500,323,3,3,0.04299,0.26455,0.22157,0.41552
s2,parity,8,c2,0.23893,0.03054,0.06811,0.24404,0.04164,0.09379,339,500,324,0,2,-0.15655,-0.08827,0.06828,0.32902
