condition,hd_mode,k,seed,step,P0,P1,P2,P3,RA,odd,path
s2,full,5,6,final,0.2902987465632314,0.23058817871326925,0.2485248960102304,0.23058817871326925,0.04177385055300099,0.4611763574265385,/Volumes/Crucial X6/prnn_backup/checkpoints/hd_invariance/s2/full/seed_06/ckpt_final.pt
s2,full,5,7,final,0.2881405093686837,0.2287120461233341,0.25443539838464807,0.2287120461233341,0.03370511098403561,0.4574240922466682,/Volumes/Crucial X6/prnn_backup/checkpoints/hd_invariance/s2/full/seed_07/ckpt_final.pt
s2,full,5,8,final,0.2962205784945489,0.22446974058945227,0.2548399403265464,0.22446974058945227,0.04138063816800253,0.44893948117890453,/Volumes/Crucial X6/prnn_backup/checkpoints/hd_invariance/s2/full/seed_08/ckpt_final.pt
s2,full,5,9,final,0.2943131666623414,0.22208510150677657,0.2615166303241056,0.22208510150677657,0.03279653633823581,0.44417020301355314,/Volumes/Crucial X6/prnn_backup/checkpoints/hd_invariance/s2/full/seed_09/ckpt_final.pt
s2,parity,5,0,final,0.334025959860894,0.21132185180235816,0.24333033653438998,0.21132185180235816,0.09069562332650401,0.4226437036047163,/Volumes/Crucial X6/prnn_backup/checkpoints/hd_invariance/s2/parity/seed_00/ckpt_final.pt
s2,parity,5,1,final,0.33370120627483835,0.21264497393056705,0.24100884586402738,0.21264497393056705,0.09269236041081098,0.4252899478611341,/Volumes/Crucial X6/prnn_backup/checkpoints/hd_invariance/s2/parity/seed_01/ckpt_final.pt
s2,parity,5,2,final,0.33902005803139734,0.2110967750919286,0.23878639178474553,0.2110967750919286,0.10023366624665181,0.4221935501838572,/Volumes/Crucial X6/prnn_backup/checkpoints/hd_invariance/s2/parity/seed_02/ckpt_final.pt
s2,parity,5,3,final,0.3374523243139394,0.21117654280242548,0.2401945900812087,0.21117654280242548,0.0972577342327308,0.42235308560485096,/Volumes/Crucial X6/prnn_backup/checkpoints/hd_invariance/s2/parity/seed_03/ckpt_final.pt
s2,parity,5,4,final,0.3333254215796172,0.21278976291492818,0.24109505259052605,0.21278976291492818,0.09223036898909119,0.42557952582985636,/Volumes/Crucial X6/prnn_backup/checkpoints/hd_invariance/s2/parity/seed_04/ckpt_final.pt
s2,parity,5,5,final,0.3354894812430427,0.21189602982548775,0.24071845910598125,0.21189602982548775,0.0947710221370615,0.4237920596509755,/Volumes/Crucial X6/prnn_backup/checkpoints/hd_invariance/s2/parity/seed_05/ckpt_final.pt
s2,parity,5,6,final,0.333943676635058,0.2096335791863062,0.2467891649923296,0.2096335791863062,0.08715451164272836,0.4192671583726124,/Volumes/Crucial X6/prnn_backup/checkpoints/hd_invariance/s2/parity/seed_06/ckpt_final.pt
s2,parity,5,7,final,0.3345098728328405,0.2094830543168839,0.24652401853339154,0.2094830543168839,0.08798585429944898,0.4189661086337678,/Volumes/Crucial X6/prnn_backup/checkpoints/hd_invariance/s2/parity/seed_07/ckpt_final.pt
s2,parity,5,8,final,0.3303543203777049,0.21322721541896897,0.24319124878435688,0.21322721541896897,0.08716307159334803,0.42645443083793794,/Volumes/Crucial X6/prnn_backup/checkpoints/hd_invariance/s2/parity/seed_08/ckpt_final.pt
s2,parity,5,9,final,0.33290617106584935,0.2108905122117651,0.24531280451062024,0.2108905122117651,0.08759336655522913,0.4217810244235302,/Volumes/Crucial X6/prnn_backup/checkpoints/hd_invariance/s2/parity/seed_09/ckpt_final.pt
s4,axis,5,0,final,0.4077322991968645,0.16224333409670896,0.2677810326097168,0.16224333409670896,0.1399512665871478,0.3244866681934179,/Volumes/Crucial X6/prnn_backup/checkpoints/hd_invariance/s4/axis/seed_00/ckpt_final.pt
s4,axis,5,1,final,0.40852373755258137,0.1637952535187694,0.26388575540987946,0.1637952535187694,0.14463798214270196,0.3275905070375388,/Volumes/Crucial X6/prnn_backup/checkpoints/hd_invariance/s4/axis/seed_01/ckpt_final.pt
