condition,seed,steps,srsa_euclid,srsa_city,loss,manifold_id,pca_variance_2d,mds_stress,mean_field_coherence,DTG_series,observation_discriminability
S2,seed_01,26000,0.6480474292248501,0.6522429088480326,0.003713239450007677,5.239781287161397,0.3901969790458679,0.3192804943041326,7.039255980566893,-0.004195479623182452,0.33600394439152487
S2,seed_01,27000,0.6455640913846216,0.6509079089319795,0.004188443999737501,5.5017678441314,0.3926418125629425,0.3257418937435799,55.199417976763634,-0.00534381754735791,0.33600394439152487
S2,seed_01,28000,0.6539075898493976,0.6570832366904068,0.004227859899401665,5.371552232797665,0.3882783055305481,0.32496179233230676,6.559661062831058,-0.0031756468410092387,0.33600394439152487
S2,seed_01,29000,0.6524389968410044,0.6538307127847558,0.003880889620631933,5.3743733860589575,0.39124011993408203,0.3267171523559019,6.475782305159302,-0.001391715943751426,0.33600394439152487
S2,seed_01,30000,0.6514359034719038,0.6557684257887669,0.0039384448900818825,5.1043514949820645,0.3801271617412567,0.3373470162722178,6.7209266791272135,-0.004332522316863097,0.33600394439152487
S2,seed_01,31000,0.6550005565991331,0.663148763963301,0.0038459126371890306,5.726743236283905,0.3755183517932892,0.34358400109785153,8.997335599160381,-0.008148207364167881,0.33600394439152487
S2,seed_01,32000,0.655447925136969,0.6639827785688682,0.003375099506229162,4.756106223588692,0.3782082498073578,0.33895254097531585,6.7013548959413045,-0.008534853431899192,0.33600394439152487
S2,seed_01,33000,0.652303901871421,0.6555281947395236,0.0036523714661598206,5.103136164608716,0.3706476092338562,0.34409348015199764,6.416395197411902,-0.003224292868102663,0.33600394439152487
S2,seed_01,34000,0.6533100396101555,0.6634724135502107,0.0031786819454282522,4.831599442210675,0.36184999346733093,0.35848813183889916,6.707000032971438,-0.010162373940055147,0.33600394439152487
S2,seed_01,35000,0.6523187731719666,0.6572274496070422,0.003182354848831892,5.691210306935012,0.36338239908218384,0.3461801017486762,13.22338413255346,-0.004908676435075532,0.33600394439152487
S2,seed_01,36000,0.6640577157698381,0.6695939853032383,0.0035592722706496716,5.882646034270815,0.36298057436943054,0.3548805330885054,6.57538330596394,-0.005536269533400251,0.33600394439152487
S2,seed_01,37000,0.6607821487726685,0.6657752221669134,0.0029399630147963762,5.49975875385825,0.36546769738197327,0.36107611722662863,6.475791050310206,-0.004993073394244929,0.33600394439152487
S2,seed_01,38000,0.6568603293759243,0.6651379601671467,0.003874909831210971,5.47033750720421,0.3592003583908081,0.3582190480951491,84.21263291154861,-0.008277630791222346,0.33600394439152487
S2,seed_01,39000,0.657291416444313,0.6674390166263912,0.0029696256387978792,5.51363655712018,0.36136582493782043,0.36395738977241615,7.002116587259328,-0.010147600182078165,0.33600394439152487
